PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0.14,12.21,101,8.28,20.76,20.19,7.17,5.63,2.2,157.56,135.98,4.27
0,11.11,101.71,4.34,20.42,20.47,8.35,3.2,2.2,153.47,153.11,2.45
0,12.82,101.64,5.92,20.48,20.76,8.28,4.8,2.34,155.94,154.67,3.77
1.06,14.71,101.07,6.26,23.4,22.43,5.89,4.15,1.75,141.48,114.02,3.03
0,12.88,101.43,5.25,24.23,22.88,8.18,3.41,2.38,156.75,155.26,2.3
5.44,14.1,101.71,4.8,22.52,22.38,5.82,3.45,1.79,146.54,112.67,2.64
0.1,14.83,101.24,5.88,25.21,23.82,7.26,3.91,2.11,151.65,137.58,2.73
1.82,15.62,100.74,8.38,25.48,23.94,6.38,5.3,2.02,144.12,123.75,3.81
0,13.12,101.34,4.98,23.56,23.58,7.81,3.8,2.27,147,144.37,2.99
0.05,13.92,101.06,4.93,24.17,23.88,7.02,3.52,1.88,140.98,131.64,2.67
0.03,16.48,100.55,5.89,25.38,25.01,5.46,4.12,0.5,131.83,103.72,3.11
1.98,17.15,100.18,8.16,26.33,25.47,6.38,5.6,2,142.46,124.1,4.22
0.05,14.04,100.77,6.45,25.64,24.8,6.06,4.21,1.91,151.3,117.78,3.03
0,8.54,101.64,5.23,21.31,22.5,7.82,4.24,2.21,157.47,143.91,3.48
0,8.36,101.94,6.5,20.97,21.99,8.11,5.2,2.12,153.59,148.94,4.21
0,8.85,102.07,3.88,21.47,22.21,8.16,3.19,1.92,156.39,150.55,2.62
0,10.99,101.8,4.89,23.01,23.25,8.26,3.85,2.13,155.64,153.1,3.07
0,11.6,101.37,6.9,24.76,24.04,8.29,4.95,2.23,154.33,152.3,3.75
0,12.39,101.32,4.42,26.09,25.08,8.25,3.12,2.4,154.43,153.64,2.34
0,14.47,101.38,4.36,28.28,26.79,7.59,2.89,2.23,146.05,144,2.04
0,16.05,101.43,5.27,27.18,26.65,7.11,3.66,2.07,141.12,135.34,2.57
0.13,17.15,101.53,4.5,25.14,25.61,6.69,3.28,2.23,148.8,130.2,2.48
1.34,17.21,101.26,5.42,25.08,25.43,7.02,4.04,0.5,156.23,138.92,3.12
7.37,16.36,100.91,2.63,24.64,24.93,3.11,2.05,1.05,144.09,64.3,1.63
0.45,14.47,100.94,4.59,25.3,26.24,7.51,3.82,2.33,151.7,143.98,3.12
0.35,15.26,101.14,5.88,25.43,25.89,6.58,4.64,1.92,148.48,125.53,3.68
19.26,17.58,101.14,7.11,24.73,24.52,2.86,5.23,0.93,139.61,60.24,4.04
17.43,17.46,101.13,3.82,24.45,24.31,3.97,2.55,1.36,132.97,80.77,1.89
0.34,15.81,101.44,4.45,24.65,25.29,4.65,3.62,0.5,147.64,93.55,2.9
0.35,17.21,101.23,7.19,25.89,25.8,6.58,5.32,1.93,135.02,124.79,4.11
0.08,15.44,101.02,6.61,26.58,26.04,7.27,4.42,2.14,145.42,138.12,3.29
0.18,15.14,100.93,6.34,26.94,26.37,7.24,4.38,2.1,142.15,137.33,3.23
8.2,17.4,100.91,5.57,25.82,25.51,6.1,4.08,1.89,145.39,120.05,3.14
0.3,15.81,101.23,4.64,26.7,26.73,6.1,3.28,1.79,147.88,119.3,2.52
2.78,17.21,101.11,5.06,27,26.9,6.62,3.61,1.99,139.62,127.48,2.71
0.02,13.67,101.23,7.01,26.29,25.75,7.41,4.84,2.2,147.84,140.02,3.6
4.65,16.17,101.29,6.7,25.87,25.39,3.74,4.8,1.21,138.78,76.63,3.66
1.48,17.21,100.85,6.84,28.11,26.58,6.72,4.41,2.01,139.38,131.5,3.11
6.87,16.48,100.78,6,26.86,26.32,5.46,4.12,1.8,145.2,106.85,3.07
0,11.9,101.38,6.41,24.81,24.91,7.61,4.59,2.19,143.09,141.13,3.55
0,12.57,101.64,5.03,24.92,25.14,7.51,3.81,2.06,139.57,138.12,2.98
0.51,15.69,101.4,8.15,24.82,24.83,6.49,6.26,1.75,137.16,123.42,4.89
4.97,15.62,100.91,5.7,24.97,24.41,4.07,3.96,1.4,140.05,83.11,2.96
0,10.74,101.12,4.05,23.37,24.09,7.25,3.41,2.05,145.47,135.76,2.84
0,10.86,101.26,3.86,22.75,23.96,7.48,3.26,1.93,140.34,139,2.68
1.14,13.12,101.58,3.45,22.73,22.88,6.05,2.83,1.75,139.36,117.05,2.23
1.2,13.18,101.86,4.89,23.65,23.83,6.89,3.88,1.74,134.29,130.09,3.06
0,14.53,101.71,7.8,23.95,24.05,6.21,6.05,1.88,137.82,120.58,4.75
0.34,16.78,101.02,7.59,25.08,25.09,6.28,5.69,1.86,125.74,120.25,4.39
0.11,16.48,100.31,7.59,26.55,25.65,6.28,4.87,1.94,131.51,121.87,3.56
0.02,13.55,100.47,5.91,25.97,25.6,5.91,4.09,1.78,134.09,112.5,3.03
0,11.35,101.25,4.53,23.88,24.73,7.21,3.8,1.98,141.55,135.44,3.09
0.01,15.08,101.51,5.84,24.6,24.99,6.46,4.55,1.82,135.26,121.95,3.57
0.02,15.69,101.4,6.01,25.55,25.73,6.09,4.68,1.68,123.88,114.85,3.66
0.14,16.36,101.09,3.29,26.45,26.44,4.59,2.34,1.48,127.35,90.52,1.81
0.1,15.69,100.93,3.9,26.09,26.44,6.39,3.02,1.86,127.53,120.82,2.3
1.49,14.4,101.07,6.76,24.02,24.4,2,5.7,0.77,133.09,42.81,4.62
0.07,11.41,101.59,6.73,23.1,24.28,6.12,5.72,1.9,134.52,117.48,4.7
0,10.13,101.86,5.26,22.28,23.65,6.86,4.48,1.99,131.96,127.78,3.68
2.47,13.49,101.61,6.27,23.49,23.82,3.58,5.05,1.21,128.69,71.8,4.02
3.41,16.85,101.28,7.97,24.87,24.79,4.55,6.12,1.55,130.47,90.91,4.79
1.38,15.38,101.4,4.36,25.9,25.47,5.44,2.95,1.66,126.05,106.03,2.19
1.96,12.82,101.54,3.23,23.43,24.02,2.31,2.64,0.91,125.48,48.49,2.15
0.66,13.24,101.08,3.75,24.81,25.59,6.79,3.2,0.5,130.87,127.45,2.59
0.01,13.24,101.11,3.85,25.81,25.87,6.57,2.8,1.75,129.2,123.62,2.12
0.13,14.34,101.51,5.33,23.91,24.7,4.84,4.38,1.44,125.99,94.29,3.54
25.6,17.46,101.01,8.39,24.44,24.32,1.7,6.46,0.64,112.09,36.66,5.03
6.08,13.61,100.97,7.77,21.78,23.16,1.48,6.55,0.59,118.23,31.95,5.28
7.49,12.39,101.26,9.7,20.59,22.38,1.55,8.17,0.61,122.51,33.79,6.6
4.97,13.55,100.94,5.16,21.3,22.64,2.31,4.32,0.84,125.43,48.14,3.56
0.05,12.57,101.28,5.38,22.65,22.9,6.1,3.94,1.59,123.7,115.03,3.02
0,9.46,101.76,3.93,21.33,22.25,7.05,3.1,1.77,130.09,129.85,2.48
0.02,10.19,102.02,4.35,21.69,22.53,6.64,3.52,1.61,124.71,123.46,2.85
0.02,11.6,101.98,3.9,24.61,23.85,6.82,2.88,1.79,127.05,126.95,2.1
0,11.84,101.99,4.88,25.26,24.33,6.86,3.39,1.77,126.44,126.3,2.39
0,13.43,101.76,3.48,27.19,25.37,6.28,2.42,1.63,120.76,119.04,1.7
0,14.59,101.52,4.74,26.32,25.58,5.86,3.23,1.48,109.81,108.95,2.3
0,15.56,101.35,7.24,25.41,25.24,5.83,5.38,1.51,114.75,109.06,4.15
0.78,16.3,100.38,6.69,24.84,24.57,2.19,4.87,0.82,115.93,46.03,3.77
0,10.44,100.28,9.47,23.37,23.33,6.06,7.44,1.66,120,111.84,5.87
0,7.81,101.32,6.13,20.54,21.65,6.62,5.06,1.53,121.02,120.77,4.11
0,8.85,102.07,4.72,21.01,22.21,6.37,3.92,1.53,118.5,117.45,3.17
0,13.37,101.79,8.74,23.2,23.34,5.89,6.94,1.5,115.53,110.42,5.45
0.02,12.08,100.67,9.79,24.29,23.68,5.63,7.16,1.5,113.26,104.8,5.51
0.06,9.09,100.7,8.45,19.93,21.55,4.44,6.98,1.14,115.42,84.5,5.65
0.01,9.03,100.95,6.91,19.76,21.48,4.21,5.67,1.02,113.91,79.59,4.65
0,9.03,101.39,4.73,20.33,21.95,6.18,3.96,1.3,115.64,114.38,3.26
5.31,10.8,101.55,6.77,19.14,20.63,1.43,5.73,0.5,109.09,30.17,4.7
6.77,11.17,101.22,3.7,19.64,21.08,4.4,3.01,1.1,110.13,83.38,2.48
0,9.77,101.1,5.08,20.87,21.21,5.75,3.93,1.22,107.67,105.59,3.08
0.01,7.51,101.69,6.48,18.84,20.12,6.07,5.27,1.38,111.82,110.69,4.27
17.77,11.17,101.46,7.59,19.79,20.55,3.43,6.23,0.91,103.6,67.2,4.95
2.52,11.66,101.16,7.2,20.8,21.21,4.68,5.79,0.5,104.49,88.87,4.62
0.95,10.01,102.01,3.77,18.46,20.26,4.72,3.3,1.2,106.05,88.49,2.76
0,10.44,101.7,2.91,20.45,21.38,5.38,2.57,1.3,103.47,101.34,2.13
0,8.3,101.38,8.09,19.31,20.14,5.84,6.59,1.35,107.57,107.23,5.27
0,8,101.98,5.86,18.15,19.72,5.79,4.85,1.4,105.59,105.46,3.93
4.33,13,101.56,8.48,22.05,21.87,5.29,6.34,1.33,100.29,99.88,4.94
0.27,12.76,101.98,4.51,21.15,21.69,5.02,3.62,1.27,97.92,94.98,2.88
0.07,14.4,101.51,6.96,22.54,22.35,2.92,5.16,0.88,93.7,57.12,3.95
0,12.94,100.84,8.29,23.52,22.55,4.65,5.68,1.19,92.3,87.59,4.22
3.49,10.38,101.49,7.66,20.08,20.94,2.76,6.52,0.84,89.78,53.9,5.27
18.74,14.22,101.4,8.84,20.39,20.39,1.74,7.04,0.65,96.45,36.63,5.52
4.03,15.5,100.61,11.34,21.78,21.01,1.91,8.52,0.75,97.5,39.91,6.58
0.14,12.45,101.19,4.09,20.59,20.69,4.06,2.98,1.17,95.18,78.44,2.3
35.18,15.75,100.72,12.28,22.01,21.06,2.05,9.15,0.8,95.89,42.75,7.01
44.03,12.51,100.15,11.54,19.58,19.79,1.17,9.1,0.52,92.34,24.75,7.09
0,7.39,101.29,4.92,15.86,18.22,5.26,4.02,1.2,94.73,94.57,3.3
0.79,8.42,101.7,10.24,15.11,17.7,2.66,8.65,0.76,88.48,51.59,6.97
14.52,9.34,101.56,11.26,14.98,17.44,0.68,9.56,0.25,89.54,14.41,7.66
5.43,10.13,101.28,6.92,16.15,17.83,2.04,5.95,0.64,90.57,40.07,4.88
0.5,8,101,6.13,15.07,17.35,4.19,5.05,0.95,88.46,76.68,4.19
0.07,8.67,100.49,9,15.89,17.04,4.53,7.22,0.84,85.95,83.09,5.76
0,8.3,101.12,7.95,16.4,16.81,4.95,6.16,0.89,90.35,90.2,4.88
0,8.12,101.15,6.66,16.16,16.62,4.82,5.09,0.9,88.7,88.45,4.02
0,7.14,101.07,5.69,14.63,16.02,4.9,4.45,0.88,88.29,88.2,3.55
5.48,10.25,100.72,5.11,17.39,17.65,4.31,3.75,0.81,82.16,79.69,2.9
6.79,10.19,100.72,5.23,16.88,17.01,2.73,4.08,0.59,79.05,51.99,3.23
0,5.92,101.44,4.23,13.65,15.49,4.73,3.54,0.79,84.7,84.2,2.94
17.29,7.63,100.87,4.65,14.54,15.48,2.71,3.95,0.57,78.84,50.34,3.27
0.96,6.9,99.81,13.02,12.6,15.15,2.98,10.8,0.62,77.92,55.3,8.55
0.12,6.41,100.68,11.98,12.57,14.67,3.04,9.66,0.53,77.83,55.14,7.66
0,7.2,101.04,7.55,13.9,14.8,4.23,5.85,0.73,77.72,76.05,4.66
0.02,6.41,101.26,6.44,12.69,14.33,3.43,5.24,0.7,76.55,63.16,4.26
6.19,6.77,101.21,3.25,12.04,14.44,2.59,2.64,0.5,73.59,48.66,2.14
0.07,6.65,101.07,3.89,12.09,13.62,2.37,3.15,0.48,72.27,44.05,2.54
0.14,7.08,100.37,8.61,12.89,13.9,2.76,6.9,0.48,68.64,50.38,5.49
0,5.19,101.43,8.88,9.9,12.3,3.29,7.17,0.5,75.88,59,5.77
0.02,6.35,101.94,7.05,12.24,12.98,3.66,5.45,0.55,71.16,66.08,4.32
0.04,9.16,101.81,4.41,14.58,14.36,3.04,3.18,0.57,64.99,55.52,2.43
0.15,10.68,101.22,8.99,16.1,15.31,2.73,6.53,0.55,65.06,50.77,4.99
0.93,11.66,101.07,8.29,17.44,16.75,2.68,5.8,0.56,66.96,50.63,4.41
7.51,12.27,101.06,9.15,18.28,16.93,1.05,6.16,0.3,61.29,21.52,4.6
0.19,10.01,100.98,7.93,17.11,15.94,3.13,4.97,0.69,67.73,57.38,3.59
0.02,5.86,101.37,8.88,11.29,13.07,2.02,7.16,0.55,68.45,38.07,5.76
0,5.49,101.44,9.21,10.65,12.51,3.35,7.45,0.52,66.2,59.92,6
0,5.62,101.04,9.6,10.62,12.77,3.32,7.8,0.54,65.15,58.91,6.28
0,4.27,102.5,7.33,6.82,11.12,3.69,5.93,0.55,67.46,64.84,4.88
0,3.97,102.81,4.54,7.71,10.59,3.58,3.77,0.51,65.94,62.41,3.15
0.2,4.46,102.01,3.35,9.39,11.08,3.55,2.76,0.48,62.51,61.39,2.27
25.02,7.39,100.13,6.43,10.55,11.71,0.66,5.36,0.16,61.05,13.49,4.28
1.98,6.23,100.03,6.85,9.64,11.52,1.64,5.66,0.33,61.83,30.83,4.62
0,5.07,101.84,6.77,7.98,10.66,2.9,5.54,0.51,61.2,52.01,4.54
0.02,4.52,101.99,9.34,6.87,9.91,3.31,7.67,0.46,59.68,57.67,6.22
2.17,4.64,100.42,13.23,6.28,9.33,1.11,10.84,0.21,58.02,21.73,8.58
0,5.74,100.96,10.87,8.56,10.53,3.22,9,0.43,58.55,57.7,7.16
0.01,5.86,101.66,8.94,9.87,10.78,1.57,7.23,0.32,58.05,29.93,5.75
0,4.82,102.67,7.92,8.25,9.61,3.28,6.42,0.48,59.75,57.06,5.13
0,5,102.69,7.17,9.19,9.58,3.43,5.52,0.45,59.97,59.82,4.28
0,5.37,102.06,4.27,10.69,9.78,3.36,3.35,0.45,58.9,58.73,2.58
0.01,6.71,101.71,4.52,9.87,9.75,2.91,3.59,0.43,57.9,51.65,2.8
0.79,7.63,101.55,2.63,11.4,10.94,1.82,1.86,0.34,56.09,33.59,1.32
8.06,8.24,101.37,6.76,12.04,11.45,0.95,5.22,0.21,51.59,18.91,4.04
10,7.45,100.39,14.34,13.3,12.48,2.48,11.04,0.5,53.65,44.99,8.52
0.05,5.74,101.61,7.36,9.66,10.66,2.43,5.88,0.34,52.81,43.71,4.73
0.01,4.33,102.16,6.23,6.92,8.91,2.71,5.16,0.34,52.51,47.19,4.22
0,5.25,102.05,9.16,8.77,9.7,2.34,7.31,0.32,50.48,42.08,5.81
0,4.27,102.96,5.7,6.94,9.25,2.85,4.68,0.38,51.27,50.2,3.81
0,7.69,102.4,7.71,11.97,11.48,2.51,5.55,0.35,46.53,45.09,4.26
0.02,8.24,101.19,8.59,12.26,11.44,1.66,5.97,0.3,46.52,31.09,4.55
0.02,3.85,101.92,9.89,7.03,8.92,2.95,7.94,0.41,52.88,51.22,6.37
2.97,3.91,101.84,4.68,5.83,8.51,1.03,3.8,0.2,51.59,20.2,3.13
1.76,6.16,100.26,9.53,9.72,10.01,0.76,7.41,0.16,41.27,14.68,5.86
0.02,3.54,100.84,10.66,4.23,7.27,2.13,8.62,0.27,45.57,36.29,6.92
0,3.3,102.49,4.86,4.71,7.15,2.84,3.98,0.27,49.19,48.76,3.27
0,4.03,103.13,2.73,6.37,7.75,2.76,2.3,0.27,47.62,47.2,1.87
3.33,7.08,102.57,9.5,10.94,10.25,0.98,7.3,0.17,46.06,18.91,5.62
27.75,7.57,100.9,13.98,10.98,10.55,0.55,11.05,0.12,42.73,11.1,8.52
0.03,3.54,101.72,7.32,3.86,7.1,2.61,6.02,0.3,45.82,44.8,4.94
0.06,3.54,101.47,6.09,3.48,6.73,1.41,4.96,0.23,41.63,25.67,4.11
0,3.54,100.89,9.01,2.71,6.07,1.72,7.29,0.2,45.64,29.9,5.92
0.02,3.11,100.38,9.59,1.48,5.63,1.77,7.9,0.18,44.94,30.77,6.42
0.04,3.17,99.94,11.64,1.58,5.48,1.24,9.61,0.14,44.68,22.09,7.71
0.02,2.99,100.1,11.16,1.38,5.12,1.46,9.22,0.13,44.37,25.38,7.41
0,2.62,101.22,9.49,0.51,4.58,2.11,7.8,0.2,45.82,35.86,6.34
0,2.44,102.32,7.87,-1.11,3.98,2.5,6.52,0.23,45.49,41.77,5.37
0.15,2.75,102.68,4.36,0.23,4.37,1.3,3.55,0.13,42.14,23.45,2.91
0.08,3.66,102.22,3.83,4.29,5.1,1.8,3.1,0.16,42.65,31.66,2.46
28.64,7.2,100.09,11.86,9.38,7.98,0.43,8.95,0.06,40.27,8.19,6.88
3.28,4.39,98.81,8.27,3.75,6.03,0.85,7.01,0.12,40,15.97,5.67
0.08,2.26,99.91,10.57,-3.42,3.49,1.45,9.22,0.12,43.24,25.23,7.52
0.01,2.32,100.67,10.85,-2.49,3.37,1.51,9.07,0.14,44.34,25.97,7.37
0.11,2.62,100.87,7.25,-1.38,3.14,1.89,6.08,0.18,44.53,33.09,5.01
0,2.75,101.3,6.58,-0.21,3.19,2.31,5.39,0.5,43.74,39.43,4.38
0.05,2.75,101.79,3.8,0.7,3.74,2.24,3.26,0.21,43.73,38.8,2.67
0.55,3.3,101.4,6.27,1.26,3.8,0.93,5.2,0.14,39.77,17.32,4.23
0.11,2.99,101.04,11.23,0.23,3.72,2.11,9.24,0.2,41.33,36.08,7.42
0,2.99,100.97,11.79,0.41,3.57,2.02,9.73,0.18,41.55,35.31,7.77
0,3.17,100.87,9.54,0.72,3.45,2.48,7.79,0.2,43.3,42.7,6.29
0.03,2.99,100.97,13.16,0.55,3.44,1.38,10.89,0.16,40.72,25.34,8.63
0.04,2.99,101.6,9.08,0.62,3.1,2.38,7.42,0.19,42.84,40.84,6.01
0.16,2.75,101.5,4.48,-0.72,2.66,1.28,3.73,0.14,42.3,23.05,3.1
15.44,2.99,100.22,12.38,-1.45,2.28,0.31,10.5,0.03,40.41,5.88,8.28
3.42,2.32,99.34,17.72,-3.69,1.32,1.56,14.55,0.14,41.67,27.06,11.32
0,2.93,100.91,10.98,-0.35,1.8,1.69,8.8,0.12,43.87,29.13,6.98
0,3.11,101.57,6.46,0.24,1.6,1.55,5.26,0.5,43.68,26.73,4.21
0,3.17,102.14,4.53,0.51,1.65,2.26,3.7,0.18,40.97,37.52,2.95
0,4.09,102.05,6.37,2.6,2.83,1.83,4.91,0.21,41.77,32.98,3.84
0.03,4.7,101.79,6.13,3.73,3.47,1.99,4.34,0.24,41.59,35.86,3.35
2.22,5.07,101.29,6.77,4.77,3.83,0.73,4.42,0.13,39.16,13.68,3.21
0.01,2.62,101.93,8.52,0.08,2.18,2.61,6.92,0.31,47.11,44.88,5.6
0.19,3.17,101.36,7.45,1.39,2.22,1.85,6.03,0.23,44.23,32.26,4.86
0.07,3.11,100.96,7.39,1.3,2.35,2.44,5.97,0.2,43.13,41.09,4.81
0.02,2.38,100.48,2.22,-0.7,1.56,1.82,1.95,0.18,43.66,31.73,1.63
2.26,3.05,99.62,5.59,0.37,1.92,0.89,4.52,0.1,38.99,16.28,3.66
0.88,2.69,99.65,4.96,-1.49,1.32,1.07,4.29,0.11,41.89,19.46,3.57
0.09,2.5,101.05,12.66,-1.68,1.3,2.53,10.5,0.18,43.73,42.22,8.38
0,2.56,102.16,9.07,-1.44,1.06,2.47,7.38,0.17,44.76,41.67,5.95
7.4,2.81,101.94,5.48,-1.74,1.31,1.51,4.59,0.17,45.88,26.97,3.81
6.69,2.87,100.45,12.38,-1.45,1.57,1.74,10.56,0.17,45.95,30.14,8.45
0,2.38,101.98,10.08,-3.16,0.43,2.64,8.36,0.2,48.16,45.09,6.75
0.07,2.14,102.57,6.15,-4.14,-0.24,2.19,5.11,0.2,45.92,37.45,4.21
0.37,2.93,101.83,6.78,-0.17,1.44,1.83,5.57,0.17,45.37,32.02,4.53
0.11,2.69,101.77,7.59,-0.5,1.01,2.67,6.15,0.27,49.48,45.3,4.96
0.64,2.08,102.56,5.61,-3.84,0.16,1.86,4.8,0.19,50.22,33.07,3.98
25.25,4.76,100.87,9.9,3.48,3.23,0.46,7.48,0.06,50.07,8.88,5.9
1.51,4.09,100.64,6.19,2.29,3.04,1.47,5.02,0.19,49.23,26.98,4.05
0.34,2.62,101.48,5.57,-0.11,1.7,2.21,4.61,0.23,49.76,38.9,3.77
7.63,2.87,100.43,10.77,-1.3,1.57,2.27,8.95,0.23,50.92,38.71,7.19
0.07,1.77,101.34,5.75,-6.35,-1.65,2,4.97,0.21,52.26,35.22,4.12
1.44,1.83,101.72,9.54,-6.23,-1.23,2.86,8.01,0.27,53.32,47.88,6.49
0.02,1.4,102.96,4.42,-8.17,-1.86,2.59,3.8,0.5,49.04,42.7,3.17
0.26,3.11,102.11,4.97,-0.01,0.84,1.44,4.09,0.2,51.65,26.59,3.36
30.68,3.66,100.92,9.98,0.74,2.1,0.82,8.46,0.12,49.31,15.84,6.77
2.41,3.42,100.73,8.89,0.67,2.04,1.76,7.3,0.23,54.6,30.39,5.88
0.64,2.93,101,2.62,-0.15,1.59,1.69,2.12,0.23,54.2,30.59,1.75
0.5,3.05,101.29,5.13,-0.47,1.18,2.15,4.29,0.23,53.77,38.09,3.52
0.01,2.93,101.87,5.39,-1.12,-0.43,2.64,4.38,0.5,56.08,46.15,3.52
0.43,2.01,102.98,5.91,-3.75,-1.54,3,4.94,0.4,57.04,51.05,3.97
4.02,3.48,102.34,6.55,-0.06,1.42,0.65,5.57,0.13,54.62,12.46,4.54
17.4,4.21,101,9.98,1.86,2.01,1.56,7.77,0.5,58.19,28.44,6.18
0,2.44,102.43,8.05,-2.5,-0.52,3.04,6.62,0.37,56.98,52.05,5.35
0.05,2.44,102.31,7.27,-2.86,-1.15,2.45,5.95,0.33,64.02,43.55,4.77
6.41,4.03,100.74,7.15,1.72,1.37,1.03,5.3,0.21,58.62,20.48,4.13
0.01,3.66,101.05,8.26,2.08,1.77,3.52,6.34,0.49,64.28,61.88,4.89
1.76,3.91,101.33,4.14,2.5,1.95,2.81,2.86,0.38,62.05,50.41,2.15
2.89,3.36,100.74,11.87,0.29,1.34,2.96,9.37,0.5,62.09,52.03,7.28
0.12,2.01,102.15,8.65,-3.79,-0.12,3.5,7.35,0.41,68.19,60.23,6.06
0.04,2.14,101.68,8.09,-3.21,0.45,3.71,6.88,0.43,64.69,62.05,5.65
0,2.38,101.97,6.45,-1.79,0.07,3.61,5.36,0.4,63.88,60.15,4.34
0,3.05,101.37,8.95,0.23,0.94,2.78,7.28,0.38,66.82,48.94,5.8
0.01,3.3,101.56,9.08,1.48,1.79,2.54,7.1,0.34,62.74,45.3,5.62
0.01,4.33,100.22,12.91,5.35,3.84,3.18,9.34,0.42,64.34,55.9,7.2
0,2.2,102.37,10.8,-1.18,1.31,4.29,8.98,0.49,72.86,71.85,7.23
0.01,2.87,102.53,6.29,1.99,2.38,3.9,4.7,0.53,67.8,65.84,3.72
0.03,4.76,101.85,7.38,4.93,3.92,2.97,4.93,0.48,66.2,53.48,3.68
0.32,6.1,100.78,10.95,8.31,5.87,2.12,7.11,0.35,65.76,39.66,5.21
0.04,2.75,100.84,15.42,2.19,2.47,3.16,12.07,0.47,74.89,55.27,9.44
0.69,2.44,101.89,8.55,-0.82,1.35,4.49,7.1,0.54,77.76,76.7,5.68
3.88,3.17,100.92,7.35,0.19,1.71,1.14,6.29,0.22,69.84,22.48,5.13
0.93,2.26,101.81,7.93,-2.47,0.7,4.37,6.8,0.55,79.12,75.12,5.6
0,2.38,102.49,5.15,-0.38,0.84,4.48,4.2,0.58,77.73,75.69,3.43
1.61,3.66,102.09,5.3,2.33,2.1,2.92,3.88,0.46,74.81,51.92,3.05
29.14,5.25,100.15,13.62,5.01,3.43,0.76,10.07,0.18,76.42,15.41,7.76
0.19,2.99,101.94,5.55,1.39,2.12,3.52,4.35,0.55,76.77,61.55,3.5
0.12,4.15,101.46,6.34,4.48,3.73,4.15,4.4,0.59,73.57,72.25,3.27
9.52,5.86,100.66,11.86,6.76,5.12,1.52,8.63,0.38,73.8,30.68,6.58
0.33,3.05,102.14,7.8,2.42,2.6,5.02,6.13,0.81,89.02,86.38,4.83
0.01,3.6,102.01,11.44,3.13,2.99,4.53,8.84,0.67,79.62,77.91,6.91
0.01,1.71,103.52,6.14,-2.38,0.99,5.27,5.28,0.76,90.15,89.76,4.38
0.21,2.93,103.66,5.72,1.64,2.46,4.63,4.58,0.72,83.74,80.46,3.67
0.22,5.49,102.74,11.09,6.48,5.12,3.18,7.77,0.6,87.96,59.62,5.93
38.72,6.23,101.24,12.37,7.34,5.82,1.48,9.12,0.41,89.8,30.09,7.02
5.96,4.03,101.18,11.17,3.69,4.02,4.93,8.98,0.91,91.88,87.4,7.09
0.02,3.05,103.15,5.09,1.87,2.84,5.03,4.1,0.8,91.35,87.77,3.29
0.41,3.91,103.32,9.26,3.05,3.37,3.27,7.69,0.63,85.2,59.63,6.12
20.25,5.8,101.92,14.32,6.89,5.6,1.58,11.27,0.49,90.32,31.87,8.74
21.75,5.74,100.74,8.98,7.43,6.4,3.65,6.24,0.8,92.12,67.17,4.7
0,4.52,101.04,9.36,5.44,4.87,4.85,6.72,0.79,92.73,86.37,5.21
0,4.58,101.58,8.48,5.81,5.31,4.84,6.05,0.84,96.09,85.88,4.69
0.01,3.97,102.57,5.05,4.04,4.23,2.82,3.88,0.59,96.56,52.73,3
0.1,4.15,102.99,5.04,3.73,4.61,4.13,4.22,0.76,100.78,74.48,3.42
15.02,5.43,101.8,6.15,6.62,5.75,3.24,4.14,0.7,96.79,61.16,2.96
0,5.13,101.96,6.8,7.55,6.48,5.71,4.48,1.04,102.2,101.85,3.27
0,6.53,101.15,9.05,10.2,7.8,4.92,6.07,1.02,97.59,90.94,4.32
0.01,4.46,102.3,8.79,6.34,5.79,5.63,6.18,1.23,100.78,98.77,4.75
0.02,3.17,103.41,5.42,3.3,4.69,6.02,4.47,1.12,105.69,105.07,3.66
9.43,5,101.85,6.14,5.26,4.95,0.85,4.77,0.23,96.3,18.02,3.7
0.54,4.7,101.22,7.5,5.99,5.63,4.99,5.25,0.9,105.53,89.67,4.02
12.64,4.27,100.75,5.63,2.78,4.42,0.92,4.93,0.23,88.95,19.55,4.06
2.17,3.72,100.49,8.3,2.8,4.17,4.71,6.96,0.88,103.55,84.45,5.64
0.01,2.81,101.32,6.96,1.48,3.49,5.99,5.69,0.96,109.02,104.65,4.66
0,2.5,101.56,8.03,0.36,2.79,6.57,6.57,1.08,114.19,113.5,5.38
0.03,2.62,101.42,7.47,1.33,3.37,5.96,6.12,0.5,112.59,104.95,5
0,2.81,101.47,9.2,1.45,3.12,6.32,7.39,1.02,114.54,109.77,5.95
0,3.17,101.86,8.37,2.81,3.64,6.57,6.52,1.08,115.02,114.84,5.2
0.28,3.91,101.84,4.38,4.12,4.42,5,3.48,0.98,113.92,90.98,2.74
4.84,4.58,100.85,7.16,4.17,4.62,1.56,6.04,0.48,110.73,32.55,4.88
3.83,4.46,99.56,8.81,3.85,4.56,2.23,7.27,0.6,112.16,44.87,5.83
0,4.33,100.04,9.19,5.66,5.38,5.96,6.73,0.98,111.39,104.73,5.2
0.39,4.46,101.19,7.84,6.7,5.77,6.18,5.55,0.98,117.64,109.55,4.12
0.6,6.16,100.52,9.62,8.1,7.16,3.57,6.97,0.87,106.48,69.16,5.31
