PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0.03,5.43,101.51,9.19,10.99,10.15,7.47,6.39,1.59,132.25,146.5,4.84
0.39,5.8,101.61,7.05,9.84,9.83,5.94,5.36,1.59,135.45,120.3,4.17
1.98,7.39,101.23,6.92,13.06,11.68,5.47,4.39,1.43,125.88,110.6,2.93
0,6.59,102.53,5.42,10.68,11.08,7.95,4.32,1.53,122.16,155,3.39
0.04,7.39,102.47,7.94,11.97,11.7,7.61,5.91,1.45,133.45,149.9,4.54
0.6,10.07,101.69,6.85,16.87,14.33,4.73,4.45,2.02,148.69,98.4,3.01
0.29,11.11,101.5,4.52,19.23,15.92,7.12,2.95,1.63,149.89,142.3,1.83
0.87,11.78,101.24,6.39,19.73,16.65,7.4,4.03,1.88,149.06,147.9,2.57
0.07,11.66,100.94,6.2,19.5,16.95,7.02,3.92,1.79,137.16,142.5,2.63
1.98,12.33,100.45,9.54,20.03,17.17,7.5,5.9,1.86,138.94,149.8,4.04
6.58,9.46,100.54,7.82,13.8,13.64,1.82,6.25,1.73,138.41,42.6,4.79
1.67,7.87,100.86,7.41,14.67,13.71,7.85,5.08,1.68,139.77,153.5,3.63
3.4,8.67,100.93,6.12,13.98,13.59,3.46,4.34,2.02,147.53,75.9,3.21
10.42,9.4,100.72,4.68,14.01,14.07,4.86,3.29,1.53,146.45,102.9,2.46
0.38,7.87,101.21,6.84,15.14,13.98,8.01,4.33,1.53,148.96,157.2,2.98
0.19,6.47,101.77,4.86,13.26,13.23,7.81,3.44,1.12,152.2,153,2.52
0.03,6.59,101.97,4.66,13.46,13.73,7.48,3.52,1.61,147.32,144.7,2.74
2.92,8.42,102.05,5.77,14.29,14.6,6.2,4.42,0.82,141.02,125.8,3.49
6.47,10.8,101.54,10.8,16.44,15.55,4.15,7.94,1.88,145.29,89.6,6.07
20.13,8.24,101.66,8.2,12.51,13.08,1.06,6.76,1.51,150.76,25.3,5.34
14.93,6.84,101.85,5.91,10.39,11.65,1.15,5.08,0.91,143.9,28.1,4.2
2.05,7.63,101.63,3.21,11.61,12.56,2.58,2.75,0.51,129.77,59,2.3
5.63,7.75,101.18,4.83,11.61,12.37,1.65,4.21,0.96,140.84,38.5,3.46
2.9,8.73,100.79,5.4,13.65,14.29,3.47,4.56,1.42,148.08,76.8,3.66
13.02,10.68,99.99,6.3,17.3,16.31,7.8,4.38,0.83,154.23,156,3.12
3.58,9.7,100.06,8.21,17.08,15.76,5.25,5.15,0.8,130.91,109.8,3.72
0,8.48,101,6.55,16.43,15.49,8.46,4.3,1.7,149.11,165.7,3.05
0.14,8.48,101.26,5.39,15.12,14.74,3.22,3.64,1.04,144.62,71.5,2.7
0.03,8,101,5.28,14.09,14.14,5.57,4.06,1.5,146.95,115,3.2
0.02,7.45,101.61,8.14,13.37,13.86,6.87,6.62,1.68,152.27,139.9,5.3
0.01,7.26,102.31,7.46,12.32,13.48,5.18,6.27,0.5,152.21,109.1,5.09
